nombre_panel,Irradiancia,Temperatura,Voc,Isc,Ns,alpha_Isc,beta_Voc,Rs,Rsh,Vmpp,Impp,Pmax
panel_HansolTechnicsCo__LtdHS240SB_A,400,30,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.545322661330662,3.2020127705932935,97.8065132434735
panel_HansolTechnicsCo__LtdHS240SB_A,400,35,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,31.067783891945968,3.2088867146769777,99.69299898532083
panel_HansolTechnicsCo__LtdHS240SB_A,400,40,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,31.590245122561278,3.2157658082348743,101.58683013889106
panel_HansolTechnicsCo__LtdHS240SB_A,400,45,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,32.112706353176584,3.222649824175356,103.48800748285936
panel_HansolTechnicsCo__LtdHS240SB_A,400,50,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,32.63516758379189,3.2295385485769668,105.39653175112534
panel_HansolTechnicsCo__LtdHS240SB_A,400,55,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,33.1576288144072,3.236431779746584,107.31240363598849
panel_HansolTechnicsCo__LtdHS240SB_A,500,10,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,28.53011505752876,3.982628112053426,113.62483826823279
panel_HansolTechnicsCo__LtdHS240SB_A,500,15,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,29.052576288144067,3.9923586487923988,115.98830421367293
panel_HansolTechnicsCo__LtdHS240SB_A,500,20,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,29.575037518759377,4.002070660333734,118.3613899320963
panel_HansolTechnicsCo__LtdHS240SB_A,500,25,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.097498749374683,4.011765090231476,120.74409478602686
panel_HansolTechnicsCo__LtdHS240SB_A,500,30,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.638619309654825,4.018996237872598,123.13649573911347
panel_HansolTechnicsCo__LtdHS240SB_A,500,35,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,31.16108054027013,4.028700223388908,125.53865213362603
panel_HansolTechnicsCo__LtdHS240SB_A,500,40,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,31.683541770885437,4.038387661266973,127.95042415278049
panel_HansolTechnicsCo__LtdHS240SB_A,500,45,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,32.20600300150075,4.0480593446727795,130.3718114047847
panel_HansolTechnicsCo__LtdHS240SB_A,500,50,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,32.74712356178089,4.055406856184767,132.80290941277596
panel_HansolTechnicsCo__LtdHS240SB_A,500,55,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,33.269584792396195,4.065086684739101,135.24374614636827
panel_HansolTechnicsCo__LtdHS240SB_A,600,10,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,28.51145572786393,4.7938049106541385,136.67835647813217
panel_HansolTechnicsCo__LtdHS240SB_A,600,15,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,29.052576288144067,4.803388884586616,139.55082201107592
panel_HansolTechnicsCo__LtdHS240SB_A,600,20,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,29.575037518759377,4.816063620943771,142.43526228214415
panel_HansolTechnicsCo__LtdHS240SB_A,600,25,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.116158079039515,4.825705435446024,145.33170773677267
panel_HansolTechnicsCo__LtdHS240SB_A,600,30,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.638619309654825,4.838345467422782,148.24022486496054
panel_HansolTechnicsCo__LtdHS240SB_A,600,35,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,31.179739869934963,4.848041347389814,151.1606680903034
panel_HansolTechnicsCo__LtdHS240SB_A,600,40,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,31.70220110055027,4.860648395610455,154.09325291670967
panel_HansolTechnicsCo__LtdHS240SB_A,600,45,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,32.24332166083041,4.8703949227096315,157.0377101082019
panel_HansolTechnicsCo__LtdHS240SB_A,600,50,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,32.76578289144572,4.882970587514851,159.99435413582677
